Protocolo;Dt. Cadastro;Ximenes;Despachante;Distribuidor;Vl. Cartório;Daj;Vl. Total Custas;Convenio;Custas Fechadas;Vl. Ximenes Gestão;Vl. Ximenes Aut.;Vl. Ximenes Rec.;Vl. Ximenes Outros;Representante
P48598;30/10/2015 08:18:52;115;0;0;62;0;193,2;;NAO;131,2;12,95;3,25;0;
P50001;27/11/2015;160;0;0;768,91;0;953,91;;NAO;185;18,5;6,5;0;
P52208;15/01/2016;140;100;0;0;0;261,18;;NAO;161,18;14,14;7,04;0;
P52241;15/01/2016;140;80;0;0;0;247,76;;NAO;167,76;24,24;3,52;0;
P52240;15/01/2016;140;80;0;0;0;247,76;;NAO;167,76;24,24;3,52;0;
P52239;15/01/2016;140;80;0;0;0;247,76;;NAO;167,76;24,24;3,52;0;
P52238;15/01/2016;140;80;0;0;0;247,76;;NAO;167,76;24,24;3,52;0;
P52237;15/01/2016;140;80;0;0;0;247,76;;NAO;167,76;24,24;3,52;0;
P52236;15/01/2016;140;80;0;0;0;247,76;;NAO;167,76;24,24;3,52;0;
P51305;22/12/2015;140;80;0;0;0;255,84;;NAO;175,84;32,32;3,52;0;
P51304;22/12/2015;140;80;0;0;0;255,84;;NAO;175,84;32,32;3,52;0;
P51303;22/12/2015;140;80;0;0;0;255,84;;NAO;175,84;32,32;3,52;0;
P51302;22/12/2015;140;80;0;0;0;255,84;;NAO;175,84;32,32;3,52;0;
P50907;15/12/2015;140;80;0;0;0;245,45;;NAO;165,45;22,2;3,25;0;
P49550;20/11/2015;140;80;0;0;0;255,84;;NAO;175,84;32,32;3,52;0;
P48863;06/11/2015;140;80;0;0;0;263,92;;NAO;183,92;40,4;3,52;0;
P48576;29/10/2015;140;240;0;50;0;468,45;;SIM;178,45;22,2;16,25;0;
P47837;15/10/2015;100;0;0;82;0;213,28;;NAO;131,28;24,24;7,04;0;
P52204;15/01/2016;100;0;0;272,64;0;390,3;;NAO;117,66;14,14;3,52;0;
P52202;15/01/2016;100;0;0;178,52;0;285,56;;NAO;107,04;0;7,04;0;
P51455;28/12/2015;100;0;0;231,3;0;343,8;;NAO;112,5;9,25;3,25;0;
P52233;15/01/2016;100;0;0;335,33;0;466,61;;NAO;131,28;24,24;7,04;0;
P52225;15/01/2016;100;0;0;559,89;0;681,07;;NAO;121,18;14,14;7,04;0;
P51549;30/12/2015;80;0;0;45,83;0;157,11;;NAO;111,28;24,24;7,04;0;
P51132;18/12/2015;80;0;0;193,75;0;305,03;;NAO;111,28;24,24;7,04;0;
P52189;15/01/2016 08:18:00;100;0;0;99,5;0;199,5;;NAO;100;0;0;0;
P51217;21/12/2015;100;120;0;932,53;0;1175,23;;SIM;122,7;12,95;9,75;0;
P49786;25/11/2015;100;0;8,25;145,29;0;278,54;;SIM;133,25;18,5;6,5;0;
P50415;08/12/2015;100;0;0;317;0;445,7;;SIM;128,7;22,2;6,5;0;
P50213;03/12/2015;60;0;0;102,81;0;191,51;;NAO;88,7;22,2;6,5;0;
P50376;07/12/2015;100;0;0;237,39;0;343,89;;SIM;106,5;0;6,5;0;
P48962;10/11/2015;100;0;0;211,33;0;317,83;;SIM;106,5;0;6,5;0;
P48961;10/11/2015;100;0;0;211,33;0;317,83;;SIM;106,5;0;6,5;0;
P48881;09/11/2015;100;0;0;115,53;0;222,03;;SIM;106,5;0;6,5;0;
P48632;03/11/2015;100;0;0;211,33;0;317,83;;SIM;106,5;0;6,5;0;
P47900;16/10/2015;100;0;0;131,59;0;238,09;;SIM;106,5;0;6,5;0;
P51940;08/01/2016;100;0;5,2;0,6;0;126,92;;NAO;126,32;0;21,12;0;
P51902;08/01/2016;100;0;5,2;0,6;0;126,92;02.906.223/0001-11;NAO;126,32;0;21,12;0;
P51661;05/01/2016;100;0;5,8;0;0;126,92;;NAO;126,92;0;21,12;0;
P51576;30/12/2015;100;0;5,2;624,88;0;749,58;02.906.223/0001-11;NAO;124,7;0;19,5;0;
